,Value,Type,Class,Description
0,RENNES,Organization,Political Secret,organizations such as private company and goverment.
1,ThomasMuster,Person,Personal details,name of person
2,BayerLeverkusen,Organization,Political Secret,organizations such as private company and goverment.
3,FredericMagne,Person,Personal details,name of person
4,France,Location,Personal details,place
5,England,Location,Personal details,place
6,Pakistan,Location,Personal details,place
7,TheOval,Location,Personal details,place
8,Newcastle,Organization,Political Secret,organizations such as private company and goverment.
9,SheffieldWednesday,Organization,Political Secret,organizations such as private company and goverment.
10,COLORADO,Organization,Political Secret,organizations such as private company and goverment.
11,Pittsburgh,Organization,Political Secret,organizations such as private company and goverment.
12,Dutroux,Person,Personal details,name of person
13,Julie,Person,Personal details,name of person
14,Melissa,Person,Personal details,name of person
15,An,Person,Personal details,name of person
16,Eefje,Person,Personal details,name of person
17,BAGHDAD,Location,Personal details,place
18,SoCalEdison,Organization,Political Secret,organizations such as private company and goverment.
19,Sierra,Location,Personal details,place
20,MohammadAkram,Person,Personal details,name of person
21,MushtaqAhmed,Person,Personal details,name of person
22,BRASILIA,Location,Personal details,place
23,IRAQ,Location,Personal details,place
24,Valletta,Location,Personal details,place
25,GilbertAgius,Person,Personal details,name of person
26,EXPANSION,Organization,Political Secret,organizations such as private company and goverment.
27,Setubal,Organization,Political Secret,organizations such as private company and goverment.
28,ChiquinhoConde,Person,Personal details,name of person
29,Porto,Organization,Political Secret,organizations such as private company and goverment.
30,AndrejezWozniak,Person,Personal details,name of person
31,VolkswagenAG,Organization,Political Secret,organizations such as private company and goverment.
32,SalimMalik,Person,Personal details,name of person
33,LONDON,Location,Personal details,place
34,Chile,Location,Personal details,place
35,ENAP,Organization,Political Secret,organizations such as private company and goverment.
36,Oriente,Organization,Political Secret,organizations such as private company and goverment.
37,Escravos,Organization,Political Secret,organizations such as private company and goverment.
38,DimitrisKontogiannis,Person,Personal details,name of person
39,AthensNewsroom,Organization,Political Secret,organizations such as private company and goverment.
40,MargaretMcCullough,Person,Personal details,name of person
41,Rubin,Person,Personal details,name of person
42,MichaelFaust,Person,Personal details,name of person
43,"Bailard,BiehlandKaiser",Organization,Political Secret,organizations such as private company and goverment.
44,Marseille,Organization,Political Secret,organizations such as private company and goverment.
45,Monaco,Organization,Political Secret,organizations such as private company and goverment.
46,Emon,Person,Personal details,name of person
47,Nice,Organization,Political Secret,organizations such as private company and goverment.
48,NATO,Organization,Political Secret,organizations such as private company and goverment.
49,Iberia,Organization,Political Secret,organizations such as private company and goverment.
50,Zimbabwe,Location,Personal details,place
51,Salang,Location,Personal details,place
52,Kabul,Location,Personal details,place
53,Afghanistan,Location,Personal details,place
54,UnitedPeople'sFrontNepal,Organization,Political Secret,organizations such as private company and goverment.
55,Bhattarai,Organization,Political Secret,organizations such as private company and goverment.
56,GilbertLeGras,Person,Personal details,name of person
57,SarkaKasparkova,Person,Personal details,name of person
58,CzechRepublic,Location,Personal details,place
59,England,Location,Personal details,place
60,Pakistan,Location,Personal details,place
61,TheOval,Location,Personal details,place
62,CapdeVillefranche,Location,Personal details,place
63,MonteCarlo,Location,Personal details,place
64,Grozny,Location,Personal details,place
65,Ischinger,Person,Personal details,name of person
66,Moscow,Location,Personal details,place
67,KlausKinkel,Person,Personal details,name of person
68,Moscow,Location,Personal details,place
69,Bosnia,Location,Personal details,place
70,QotbuddinHilal,Person,Personal details,name of person
71,Middlesbrough,Organization,Political Secret,organizations such as private company and goverment.
72,Wisconsin,Location,Personal details,place
73,Gore,Person,Personal details,name of person
74,Dole,Person,Personal details,name of person
75,TENDULKAR,Person,Personal details,name of person
76,JAYASURIYA,Person,Personal details,name of person
77,Johannesburg,Location,Personal details,place
78,Wasim,Person,Personal details,name of person
79,Croft,Person,Personal details,name of person
80,Chamorro,Person,Personal details,name of person
81,Nicaragua,Location,Personal details,place
82,Mitsubishi,Organization,Political Secret,organizations such as private company and goverment.
83,Makinen,Person,Personal details,name of person
84,JuhaKankkunen,Person,Personal details,name of person
85,JiulPetrosani,Organization,Political Secret,organizations such as private company and goverment.
86,DinamoBucharest,Organization,Political Secret,organizations such as private company and goverment.
87,FrancisMoreau,Person,Personal details,name of person
88,France,Location,Personal details,place
89,HeikoSzonn,Person,Personal details,name of person
90,Germany,Location,Personal details,place
91,CINCINNATI,Organization,Political Secret,organizations such as private company and goverment.
92,AOL,Organization,Political Secret,organizations such as private company and goverment.
93,COLOMBO,Location,Personal details,place
94,LECIVAPRAHA,Organization,Political Secret,organizations such as private company and goverment.
95,ADV,Organization,Political Secret,organizations such as private company and goverment.
96,Haitai,Organization,Political Secret,organizations such as private company and goverment.
97,Brussels,Location,Personal details,place
