,Value,Type,Class,Description
0,RENNES,Text,Organization,organizations such as private company and goverment
1,ThomasMuster,Text,Person,name of person
2,BayerLeverkusen,Text,Organization,organizations such as private company and goverment
3,FredericMagne,Text,Person,name of person
4,France,Text,Location,a place
5,England,Text,Location,a place
6,Pakistan,Text,Location,a place
7,TheOval,Text,Location,a place
8,Newcastle,Text,Organization,organizations such as private company and goverment
9,SheffieldWednesday,Text,Organization,organizations such as private company and goverment
10,COLORADO,Text,Organization,organizations such as private company and goverment
11,Pittsburgh,Text,Organization,organizations such as private company and goverment
12,Dutroux,Text,Person,name of person
13,Julie,Text,Person,name of person
14,Melissa,Text,Person,name of person
15,An,Text,Person,name of person
16,Eefje,Text,Person,name of person
17,BAGHDAD,Text,Location,a place
18,SoCalEdison,Text,Organization,organizations such as private company and goverment
19,Sierra,Text,Location,a place
20,MohammadAkram,Text,Person,name of person
21,MushtaqAhmed,Text,Person,name of person
22,BRASILIA,Text,Location,a place
23,IRAQ,Text,Location,a place
24,Valletta,Text,Location,a place
25,GilbertAgius,Text,Person,name of person
26,EXPANSION,Text,Organization,organizations such as private company and goverment
27,Setubal,Text,Organization,organizations such as private company and goverment
28,ChiquinhoConde,Text,Person,name of person
29,Porto,Text,Organization,organizations such as private company and goverment
30,AndrejezWozniak,Text,Person,name of person
31,VolkswagenAG,Text,Organization,organizations such as private company and goverment
32,SalimMalik,Text,Person,name of person
33,LONDON,Text,Location,a place
34,Chile,Text,Location,a place
35,ENAP,Text,Organization,organizations such as private company and goverment
36,Oriente,Text,Organization,organizations such as private company and goverment
37,Escravos,Text,Organization,organizations such as private company and goverment
38,DimitrisKontogiannis,Text,Person,name of person
39,AthensNewsroom,Text,Organization,organizations such as private company and goverment
40,MargaretMcCullough,Text,Person,name of person
41,Rubin,Text,Person,name of person
42,MichaelFaust,Text,Person,name of person
43,"Bailard,BiehlandKaiser",Text,Organization,organizations such as private company and goverment
44,Marseille,Text,Organization,organizations such as private company and goverment
45,Monaco,Text,Organization,organizations such as private company and goverment
46,Emon,Text,Person,name of person
47,Nice,Text,Organization,organizations such as private company and goverment
48,NATO,Text,Organization,organizations such as private company and goverment
49,Iberia,Text,Organization,organizations such as private company and goverment
50,Zimbabwe,Text,Location,a place
51,Salang,Text,Location,a place
52,Kabul,Text,Location,a place
53,Afghanistan,Text,Location,a place
54,UnitedPeople'sFrontNepal,Text,Organization,organizations such as private company and goverment
55,Bhattarai,Text,Organization,organizations such as private company and goverment
56,GilbertLeGras,Text,Person,name of person
57,SarkaKasparkova,Text,Person,name of person
58,CzechRepublic,Text,Location,a place
59,England,Text,Location,a place
60,Pakistan,Text,Location,a place
61,TheOval,Text,Location,a place
62,CapdeVillefranche,Text,Location,a place
63,MonteCarlo,Text,Location,a place
64,Grozny,Text,Location,a place
65,Ischinger,Text,Person,name of person
66,Moscow,Text,Location,a place
67,KlausKinkel,Text,Person,name of person
68,Moscow,Text,Location,a place
69,Bosnia,Text,Location,a place
